date,city,value,source
2024-01-01, Palo Alto, 50, https://www.paloalto.gov/City-Hall/Sustainability/Emissions-Reduction-Goals-and-Progress
2020-01-01, Santa Monica, 60, https://www.santamonica.gov/sustainable-city-plan/resource-conservation/greenhouse-gas-emissions
2019-01-01, Santa Monica, 36, https://www.santamonica.gov/sustainable-city-plan/resource-conservation/greenhouse-gas-emissions
2018-01-01, Santa Monica, 28, https://www.santamonica.gov/sustainable-city-plan/resource-conservation/greenhouse-gas-emissions
